Field ID,Location,Burn Severity,Treatment,pH,DOC,TDN,Na,NH4,K,Mg,Ca,Cl,NO3,PO4,SO4
SC_FRL2_03,Stone Canyon,Fire  Line,Fire Retardant,7.04,0.569267359,0.695596197,0.009879591,0.027453384,0.550374881,0.157256026,2.981696273,0.027930547,1.411814164,0.361912044,0.092133641
SC_FRL3_01,Stone Canyon,Fire  Line,Fire Retardant,8.19,0.491972237,0.443343081,0.009191842,0.004592349,0.602219837,0.163063456,2.608466632,0.035560464,0.830840266,0.249995497,0.082981512
SC_FRL3_02,Stone Canyon,Fire  Line,Fire Retardant,8.04,0.636126565,0.730676819,0.012110353,0.002489706,0.635249294,0.207588253,2.837538002,0.036562092,0.826525366,0.257629635,0.130898332
SC_FRL3_03,Stone Canyon,Fire  Line,Fire Retardant,8.36,0.605702851,0.548794397,0.008488017,0.0016629,0.582600572,0.188469434,2.440202656,0.030662693,0.603075663,0.139545766,0.060800513
SC_FRL4_01,Stone Canyon,Fire  Line,Fire Retardant,6.83,0.605935148,2.176051193,0.030880998,0.026682636,0.7329697,0.268110858,2.206869474,0.046671882,4.172617256,3.40159471,0.331959642
SC_FRL4_02,Stone Canyon,Fire  Line,Fire Retardant,6.91,0.736846035,2.936632495,0.034898746,0.035953142,0.723496711,0.329352779,2.18456285,0.0542896,5.061348015,3.229627111,0.331346289
SC_FRL4_03,Stone Canyon,Fire  Line,Fire Retardant,6.87,0.68590896,1.7627984,0.033134201,0.044439907,0.590927251,0.309768915,2.211598624,0.039352525,4.302562172,3.37599251,0.384757168
SC_FRL5_01,Stone Canyon,Fire  Line,Fire Retardant,7.14,2.37825,1.882125,0.019663014,0.008733295,1.033651687,0.705909029,2.84372815,0.057869716,5.440742393,2.02566135,0.462182747
SC_FRL5_02,Stone Canyon,Fire  Line,Fire Retardant,7.74,1.048410866,1.366146311,0.011250385,0.001780998,0.543839971,0.509526165,1.948245642,0.033990876,3.248107976,1.422385345,0.363780819
SC_FRL5_03,Stone Canyon,Fire  Line,Fire Retardant,7.13,1.484325411,1.832413163,0.018084781,0.002198465,0.666987942,0.55614447,2.893567683,0.044806674,4.194877643,2.149498994,0.396056691
SC_FRL6_01,Stone Canyon,Fire  Line,Fire Retardant,7.81,1.796034381,2.050334258,0.017043147,0.002427903,0.88577415,0.355034486,4.30855575,0.046905618,4.902309252,1.517377199,1.056509217
SC_FRL6_02,Stone Canyon,Fire  Line,Fire Retardant,7.88,1.999250375,2.634182909,0.026153013,0.003256898,1.264755558,0.40471338,3.401231687,0.06566031,5.843931189,1.890824908,0.935978781
SC_FRL6_03,Stone Canyon,Fire  Line,Fire Retardant,7.7,2.062642168,2.485199895,0.017500964,0.002901495,1.437252596,0.32822495,4.23751551,0.059475631,5.695671379,1.416338284,0.892364825
U_C_01,Quarry,Unburned,Control,6.07,1.757315398,0.984069154,0.043501922,0.025829116,0.664656244,0.119423459,1.232308143,0.061616872,0.796320036,0.105210858,0.349042973
U_C_02,Quarry,Unburned,Control,6.59,1.468145521,0.595073652,0.036844343,0.003527623,0.535529652,0.167370864,0.926188207,0.030931467,0.592627213,0.112389781,0.237672288
U_C_03,Quarry,Unburned,Control,6.06,1.982214021,0.873922013,0.028713569,0.02253225,0.992876987,0.375285206,2.591522848,0.063073394,0.761214671,0.07099402,0.462895184
U_C_04,Quarry,Unburned,Control,6.28,1.343736649,0.931306635,0.020356249,0.017563077,0.486726233,0.212937556,1.973217823,0.030696212,0.618920453,0.046436546,0.306985754
U_C_05,Quarry,Unburned,Control,6.53,1.90130436,1.094642832,0.038535755,0.005379439,0.930555349,0.165397772,1.086732607,0.044054858,1.236588505,0.127638554,0.321890317
U_C_06,Quarry,Unburned,Control,6.39,1.450525228,0.531244051,0.025013866,0.002876903,0.48060872,0.160771403,0.792086814,0.035195325,0.575267668,0.063052886,0.265892244
U_C_07,Quarry,Unburned,Control,6.41,1.366926341,0.591064473,0.030101076,0.00281099,0.413393565,0.177021476,0.760960038,0.044254744,0.68370376,0.054315492,0.272237762
U_FR_01,Quarry,Unburned,Fire Retardant,6.46,2.065342339,0.819949443,0.012580848,0.002963285,0.476988094,0.149119425,1.36319216,0.026654093,1.392196514,0.545722067,0.080381237
U_FR_02,Quarry,Unburned,Fire Retardant,6.16,1.563482738,0.76241443,0.020780612,0.00374075,0.686338835,0.24682984,1.66763212,0.029148445,1.638574986,0.872536877,0.105740184
U_FR_03,Quarry,Unburned,Fire Retardant,6.5,4.473741176,1.114729412,0.054568521,0.003464998,0.866992574,0.300123492,2.532286652,0.085533807,2.194142332,0.802260816,0.164972595
U_FR_04,Quarry,Unburned,Fire Retardant,6.65,1.165409371,0.564303485,0.015631667,0.00235484,0.308462601,0.132145372,1.418996356,0.020127336,1.015515366,0.527988135,0.06472966
U_FR_05,Quarry,Unburned,Fire Retardant,6.4,4.061655549,1.136336542,0.054972533,0.002632599,0.880423894,0.262178631,2.742002346,0.071821166,2.408660279,0.945621381,0.145741934
U_FR_06,Quarry,Unburned,Fire Retardant,6.85,1.811398649,1.18486409,0.019771729,0.003750469,0.952230053,0.349824631,2.144941183,0.04928771,2.350842559,1.690204529,0.096746659
U_FR_07,Quarry,Unburned,Fire Retardant,6.18,2.356460526,0.753859539,0.036068916,0.004631849,0.838992408,0.215705561,2.042722211,0.054681315,1.845314679,1.285827851,0.14186285
